avg_reward,std_reward,kl,entropy,policy_loss,value_loss,prompt_words,gen_words
8.0,0.0,0.0,0.0,0.0,0.0,87,89
7.0,0.0,0.0,0.0,0.0,0.0,168,168
8.0,0.0,0.0,0.0,0.0,0.0,249,267
2.0,0.0,0.0,0.0,0.0,0.0,301,324
2.0,0.0,0.0,0.0,0.0,0.0,387,381
1.0,0.0,0.0,0.0,0.0,0.0,461,482
9.0,0.0,0.0,0.0,0.0,0.0,536,532
3.0,0.0,0.0,0.0,0.0,0.0,600,600
7.0,0.0,0.0,0.0,0.0,0.0,701,632
4.0,0.0,0.0,0.0,0.0,0.0,759,704
2.0,0.0,0.0,0.0,0.0,0.0,819,773
3.0,0.0,0.0,0.0,0.0,0.0,885,869
1.0,0.0,0.0,0.0,0.0,0.0,959,944
1.0,0.0,0.0,0.0,0.0,0.0,1037,1017
6.0,0.0,0.0,0.0,0.0,0.0,1097,1076
4.0,0.0,0.0,0.0,0.0,0.0,1170,1148
9.0,0.0,0.0,0.0,0.0,0.0,1280,1182
3.0,0.0,0.0,0.0,0.0,0.0,1368,1243
9.0,0.0,0.0,0.0,0.0,0.0,1427,1266
3.0,0.0,0.0,0.0,0.0,0.0,1516,1286
9.0,0.0,0.0,0.0,0.0,0.0,1611,1290
6.0,0.0,0.0,0.0,0.0,0.0,1670,1291
8.0,0.0,0.0,0.0,0.0,0.0,1724,1350
9.0,0.0,0.0,0.0,0.0,0.0,1798,1377
7.0,0.0,0.0,0.0,0.0,0.0,1860,1442
1.0,0.0,0.0,0.0,0.0,0.0,1921,1511
2.0,0.0,0.0,0.0,0.0,0.0,1981,1523
